particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
a,"
'''a''' <small>[conjunction for nouns]</small> — @@@and/or@@@
:'''i ei mi tavla la alis a la kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Comment: means @@@at least one of the two@@@ (of nouns connected using {a}).
:Related words: {ja}, {a}, {e}, {ji}, {o}, {u}",a,conjunction for nouns,@@@and/or@@@,means @@@at least one of the two@@@ (of nouns connected using {a}),conjunction for nouns,"{ja}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,and/or,,,logical connective: sumti afterthought or,a,"
'''a''' <small>[conjunction for nouns]</small> — @@@and/or@@@
:'''i ei mi tavla la alis a la kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Comment: means @@@at least one of the two@@@ (of nouns connected using {a}).
:Related words: {ja}, {a}, {e}, {ji}, {o}, {u}",a,conjunction for nouns,@@@and/or@@@,means @@@at least one of the two@@@ (of nouns connected using {a}),conjunction for nouns,"{ja}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,and/or,,,,,,
e,"
'''e''' <small>[conjunction for nouns]</small> — @@@and@@@
:'''i mi e do pu casnu lo za'u bangu''' — ''I discussed languages, and you discussed languages (maybe not with each other, maybe in different discussions).''
:Related words: {ce}, {je}, {a}, {e}, {ji}, {o}, {u}",e,conjunction for nouns,@@@and@@@,,conjunction for nouns,"{ce}, {je}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,and,,,logical connective: sumti afterthought and,e,"
'''e''' <small>[conjunction for nouns]</small> — @@@and@@@
:'''i mi e do pu casnu le za'u bangu''' — ''I discussed languages, and you discussed languages (maybe not with each other, maybe in different discussions).''
:Related words: {ce}, {je}, {a}, {e}, {ji}, {o}, {u}",e,conjunction for nouns,@@@and@@@,,conjunction for nouns,"{ce}, {je}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,and,,,,,,
ji,"
'''ji''' <small>[conjunction]</small> — asks for the connective (that should go into the place to which {ji} is put)
:'''i do djica tu'a lo ckafi ji lo tcati''' — ''Do you want tea or coffee (make a choice)?''
:Related words: {a}, {e}, {ji}, {o}, {u}",ji,conjunction,asks for the connective (that should go into the place to which {ji} is put),,conjunction for nouns,"{a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,question,,,,logical connective: sumti afterthought connective question,ji,"
'''ji''' <small>[conjunction]</small> — asks for the connective (that should go into the place to which {ji} is put)
:'''i do djica tu'a le ckafi ji le tcati''' — ''Do you want tea or coffee (make a choice)?''
:Related words: {a}, {e}, {ji}, {o}, {u}",ji,conjunction,asks for the connective (that should go into the place to which {ji} is put),,conjunction for nouns,"{a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,question,,,,,,,
o,"
'''o''' <small>[conjunction for nouns]</small> — @@@both or none@@@
:'''i la alis o la kevin cu lumci lo kumfa''' — ''Either both Alice and Kevin clean a room or neither of them do.''
:Related words: {jo}, {a}, {e}, {ji}, {o}, {u}",o,conjunction for nouns,@@@both or none@@@,,conjunction for nouns,"{jo}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,both or none,,,logical connective: sumti afterthought biconditional/iff/if-and-only-if,o,"
'''o''' <small>[conjunction for nouns]</small> — @@@both or none@@@
:'''i la alis o la kevin cu lumci le kumfa''' — ''Either both Alice and Kevin clean a room or neither of them do.''
:Related words: {jo}, {a}, {e}, {ji}, {o}, {u}",o,conjunction for nouns,@@@both or none@@@,,conjunction for nouns,"{jo}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,both or none,,,,,,
o nai,"
'''o nai''' <small>[conjunction for nouns]</small> — @@@either ... or ...@@@
:'''i do o nai mi lumci le kumfa''' — ''Either you clean the room or I do.''
:Related words: {jo}, {a}, {e}, {ji}, {o}, {u}",o nai,conjunction for nouns,@@@either ... or ...@@@,,conjunction for nouns,"{jo}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,either ... or ...,,,,o nai,"
'''o nai''' <small>[conjunction for nouns]</small> — @@@either ... or ...@@@
:'''i do o nai mi lumci le mi'u kumfa''' — ''Either you clean the room or I do.''
:Related words: {jo}, {a}, {e}, {ji}, {o}, {u}",o nai,conjunction for nouns,@@@either ... or ...@@@,,conjunction for nouns,"{jo}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,either ... or ...,,,,,,
u,"
'''u''' <small>[conjunction for nouns]</small> — @@@whether or not@@@
:'''i coi lo jbopre u lo certu''' — ''Hello, Lojbanists (whether or not you are experts).''
:Related words: {ju}, {a}, {e}, {ji}, {o}, {u}",u,conjunction for nouns,@@@whether or not@@@,,conjunction for nouns,"{ju}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,whether or not,,,logical connective: sumti afterthought whether-or-not,u,"
'''u''' <small>[conjunction for nouns]</small> — @@@whether or not@@@
:'''i coi le jbopre u le certu''' — ''Hello, Lojbanists (whether or not you are experts).''
:Related words: {ju}, {a}, {e}, {ji}, {o}, {u}",u,conjunction for nouns,@@@whether or not@@@,,conjunction for nouns,"{ju}, {a}, {e}, {ji}, {o}, {u}",,,,A,needed,conjunction,,whether or not,,,,,,
ba'e,"
'''ba'e''' <small>[left interjection]</small> — puts an emphasis on the following construct
:'''i mi djuno le du'u ma kau darxi ba'e la alis''' — ''I know who hit ALICE (not someone else).''
:'''i vajni ba'e mi''' — ''It's important to ME.''
:Related words: {ba'e}, {za'e}",ba'e,left interjection,puts an emphasis on the following construct,,left interjection,"{ba'e}, {za'e}",,,,BAhE,yes,left interjection,,,,,forethought emphasis indicator, indicates next word is especially emphasized,ba'e,"
'''ba'e''' <small>[left interjection]</small> — puts an emphasis on the following construct
:'''i mi djuno le mi'u du'u ma kau darxi ba'e la alis''' — ''I know who hit ALICE (not someone else).''
:'''i vajni ba'e mi''' — ''It's important to ME.''
:Related words: {ba'e}, {za'e}",ba'e,left interjection,puts an emphasis on the following construct,,left interjection,"{ba'e}, {za'e}",,,,BAhE,yes,left interjection,,,,,,,
za'e,"
'''za'e''' <small>[left interjection]</small> — marks the following construct as nonce (made up for this specific context) or as used not in its usual meaning
:'''i mi pu za'e derpi i va'i mi pu smusku lo jai se bebna''' — ''I &quot;derped&quot;. In other words, I said something stupid.''
:Related words: {ba'e}, {za'e}",za'e,left interjection,marks the following construct as nonce (made up for this specific context) or as used not in its usual meaning,,left interjection,"{ba'e}, {za'e}",,,,BAhE,yes,left interjection,,,,,forethought nonce-word indicator, indicates next word is nonce-creation and may be nonstandard,za'e,"
'''za'e''' <small>[left interjection]</small> — marks the following construct as nonce (made up for this specific context) or as used not in its usual meaning
:'''i mi pu za'e derpi i va'i mi pu smusku le jai se bebna''' — ''I &quot;derped&quot;. In other words, I said something stupid.''
:Related words: {ba'e}, {za'e}",za'e,left interjection,marks the following construct as nonce (made up for this specific context) or as used not in its usual meaning,,left interjection,"{ba'e}, {za'e}",,,,BAhE,yes,left interjection,,,,,,,
,---,ba'i,preposition from {basti},@@@replaced by ...@@@,,preposition from {basti},,,,,BAI,,preposition,,replaced by ...,,,"basti modal, 1st place replaced by ...",,---,ba'i,preposition from {basti},@@@replaced by ...@@@,,preposition from {basti},,,,,BAI,,preposition,,replaced by ...,,,,,,
bai,"
'''bai''' <small>[preposition from {bapli}]</small> — @@@compelled by force ...@@@
:'''i mi pu stali bu'u lo zdani bai lo ka bilma''' — ''I stayed at home forced by my illness.''",bai,preposition from {bapli},@@@compelled by force ...@@@,,preposition from {bapli},,,,,BAI,yes,preposition,,compelled by force ...,,,"bapli modal, 1st place (forced by) forcedly; compelled by force ...",bai,"
'''bai''' <small>[preposition from {bapli}]</small> — @@@compelled by force ...@@@
:'''i mi pu stali bu'u le zdani bai le ka bilma''' — ''I stayed at home forced by my illness.''",bai,preposition from {bapli},@@@compelled by force ...@@@,,preposition from {bapli},,,,,BAI,yes,preposition,,compelled by force ...,,,,,,
