Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
,,,,,,,aftobuso,,Socio. Vehicles,,,,,x<sub>1</sub>,"is a bus, coach carrying ",x<sub>2</sub>,,,,,,,,,"bus, coach",,,,,"{karce}, {taksi}, {trene}, {marce}, {tcadu}",entity,entity,,,,,,,,,
akti,"
'''akti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is running service  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo akti''' — active, in action, working, in operation. '''lo se akti''' — active operation. 
:'''i gau ko ta to'e akti''' — ''Turn that off.''
:'''i gau ko ta akti''' — ''Turn it on.''
:'''i mi ba jai gau akti fai le minji''' — ''I will get the machine running.''
:'''i le zarci ca akti''' — ''The shop is open.''
:'''i le minji ca akti lo ka cupra lo purmo''' — ''The machine is now in operation producing flour.''
:Related words: {zukcfu}, {spofu}",,,,,x1 ca'a zilpilno x2,akti,yes,,General. Organization,,,,x<sub>1</sub>,is running service ,x<sub>2</sub>,,,,,,,,,"active, in action, working, in operation",active operation,,,,"{zukcfu}, {spofu}",entity,property of x1,,,,,,,,,
,,,,,,,alna,,Living. Plants (non-edible by default),,,,,x<sub>1</sub>,"is an alder, a tree of genus Alnus of species ",x<sub>2</sub>,,,,,,,,,alder,,,,,{tricu},entity,taxon,,,,,,,,,
ankabuta,"
'''ankabuta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a spider of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo ankabuta''' — spider. 
:'''i xu do terpa tu'a lo ankabuta''' — ''Are you afraid of spiders?''
:Related words: {insekto}, {cinki}, {danlu}",,,,,,ankabuta,yes,Living. Arthropods,,,,,x<sub>1</sub>,is a spider of species ,x<sub>2</sub>,,,,,,,,,spider,,,,,"{insekto}, {cinki}, {danlu}",entity,taxon,,,,,,,,,
arte,"
'''arte''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a piece of artwork
:'''lo arte''' — piece of artwork. 
:'''i le vi arte pu jai rinka so'i nu darlu''' — ''There've been a lot of debates caused by this artwork.''
:Related words: {larcu}, {finti}, {pixra}",,,,,,arte,yes,,,,,,x<sub>1</sub>,is a piece of artwork,,,,,,,,,,piece of artwork,,,,,"{larcu}, {finti}, {pixra}",entity,,,,,,,,,,
arxokuna,"
'''arxokuna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a raccoon of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo arxokuna''' — raccoon. 
:'''i pa arxokuna cu zvati le mi kumfa co nu jukpa''' — ''There's a raccoon in my kitchen.''
:Related words: {danlu}, {mabru}",,,,,,arxokuna,yes,Living. Mammals,,,,,x<sub>1</sub>,is a raccoon of species ,x<sub>2</sub>,,,,,,,,,raccoon,,,,,"{danlu}, {mabru}",entity,taxon,,,,,,,,,
tolckire,"
'''tolckire''' — ''x<sub>1</sub><sub>(entity)</sub>''  feels resentment, bitterness towards  ''x<sub>2</sub><sub>(entity)</sub>''  for action  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo tolckire''' — resentful. 
:'''i mi pu tolckire le ninmu lo ka tarti lo xlali''' — ''I felt resentful of this lady's bad behavior.''
:Related words: {to'e}, {ckire}",,,,,,tolckire,yes,,,,CKIRE,,x<sub>1</sub>,"feels resentment, bitterness towards ",x<sub>2</sub>,for action ,x<sub>3</sub>,,,,,,,resentful,,,,,"{to'e}, {ckire}",entity,entity,property of x2,,,,,,,,
asna,"
'''asna''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a posture, stance, asana of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo asna''' — posture (of body), body position, stance (of body), asana. 
:'''i ra co'a se asna pa ckape ne'a le barda fenra''' — ''He took a dangerous pose near the abyss.''
:Related words: {morna}",,,,,,asna,yes,,,,,,x<sub>1</sub>,"is a posture, stance, asana of body ",x<sub>2</sub>,,,,,,,,,"posture (of body), body position, stance (of body), asana",,,,,{morna},property of x2,entity,,,,,,,,,
bacru,"
'''bacru''' — ''x<sub>1</sub><sub>(entity)</sub>''  utters  ''x<sub>2</sub><sub>(sound, text)</sub>'' 
:'''lo se bacru''' — uttered text or sound. 
:'''i ko na cladu bacru''' — ''Don't talk loud.''
:'''i le nakni pu bacru lu pa no li'u''' — ''He said &quot;Ten&quot;.''
:Comment: {bacru} is @@@to vocally utter an actual sound@@@, {cusku} is @@@to say some text@@@ (which can be in any form including vocal)
:Related words: {krixa}, {cusku}, {casnu}, {tavla}, {voksa}, {pinka}",,,,,x1 cupra x2 noi se du'u te bangu vau je sance vau ta'i lo ka pilno lo cnano rango be vo'a bei lo nu no'a xi ci,bacru,yes,Socio. Communication,,,SANGA=TCIDU-,,x<sub>1</sub>,utters ,x<sub>2</sub>,,,,,,,,"{bacru} is @@@to vocally utter an actual sound@@@, {cusku} is @@@to say some text@@@ (which can be in any form including vocal)",,uttered text or sound,,,,"{krixa}, {cusku}, {casnu}, {tavla}, {voksa}, {pinka}",entity,"sound, text",,,,utter [to],,,,"x1 utters verbally/says/phonates/speaks [vocally makes sound] x2 ||| [also voices; does not necessarily imply communication or audience; ('says' is usually cusku)]; (cf. krixa, cusku, casnu, tavla, voksa, pinka)",2
badna,"
'''badna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a banana fruit or plant of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo badna''' — banana. 
:'''i ma jdima lo badna poi kilto lo grake''' — ''How much is the kilo of bananas?''
:Related words: {grute}",,,,,x1 grute x2 noi jutsi la'o jutygunma Musa jutygunma,badna,yes,Living. Food. Vegetation,,,,,x<sub>1</sub>,is a banana fruit or plant of species ,x<sub>2</sub>,,,,,,,,,banana,,,,,{grute},entity,taxon,,,,,,,,x1 is a banana/plantain [fruit/plant] of species/breed x2 ||| (cf. grute),2
